followees,original_user_id
516883365,1002391315915657216
478248923,1002391315915657216
497151502,1002391315915657216
1546192337910505476,1002391315915657216
282282358,1002391315915657216
1406032995690110977,1002391315915657216
233561575,1002391315915657216
278168775,1002391315915657216
818516810182098944,1002391315915657216
735269077002784768,1002391315915657216
45179516,1002391315915657216
1445722799197229059,1002391315915657216
333159177,1002391315915657216
255270009,1002391315915657216
2414901324,1002391315915657216
304135651,1002391315915657216
99394661,1002391315915657216
1364838838183620610,1002391315915657216
3336028299,1002391315915657216
342441818,1002391315915657216
1549830069958459394,1002391315915657216
1920303343,1002391315915657216
624921871,1002391315915657216
103292718,1002391315915657216
3295496363,1002391315915657216
52599230,1002391315915657216
2240088025,1002391315915657216
610932661,1002391315915657216
1079100024288698368,1002391315915657216
1499109943521259531,1002391315915657216
1555366847356309504,1002391315915657216
759177810137210880,1002391315915657216
326510922,1002391315915657216
296596535,1002391315915657216
1178852299780820992,1002391315915657216
154152008,1002391315915657216
1130131331994853376,1002391315915657216
238687719,1002391315915657216
1483857328592068609,1002391315915657216
1062926939151888385,1002391315915657216
23151437,1002391315915657216
28054681,1002391315915657216
1456482704233353225,1002391315915657216
18996035,1002391315915657216
16638685,1002391315915657216
59682648,1002391315915657216
575613867,1002391315915657216
3004871415,1002391315915657216
28442098,1002391315915657216
939091,1002391315915657216
1381969298172825601,1002391315915657216
109317980,1002391315915657216
813286,1002391315915657216
318693339,1002391315915657216
1165294440862375936,1002391315915657216
1218569860860477441,1002391315915657216
489775814,1002391315915657216
975245924,1002391315915657216
574878373,1002391315915657216
602884368,1002391315915657216
909798714784567296,1002391315915657216
3312822782,1002391315915657216
122184621,1002391315915657216
58598187,1002391315915657216
808334464241860610,1002391315915657216
1084540071213191169,1002391315915657216
4013691856,1002391315915657216
2792909559,1002391315915657216
245012982,1002391315915657216
1238993739156242432,1002391315915657216
1085248172899946497,1002391315915657216
350660523,1002391315915657216
398211144,1002391315915657216
1211414821813403650,1002391315915657216
3035274638,1002391315915657216
1064564573980700673,1002391315915657216
750428809074241536,1002391315915657216
1532262590,1002391315915657216
2362280776,1002391315915657216
22940219,1002391315915657216
17929027,1002391315915657216
24795163,1002391315915657216
1148298267144400896,1002391315915657216
35787166,1002391315915657216
61896196,1002391315915657216
38802447,1002391315915657216
224468287,1002391315915657216
1095786885685882880,1002391315915657216
28897926,1002391315915657216
617580140,1002391315915657216
403443988,1002391315915657216
18133405,1002391315915657216
119509520,1002391315915657216
98306812,1002391315915657216
24966423,1002391315915657216
161916574,1002391315915657216
2872058420,1002391315915657216
116362700,1002391315915657216
407329869,1002391315915657216
2957538413,1002391315915657216
816412233488015360,1002391315915657216
21407253,1002391315915657216
2646336846,1002391315915657216
21250868,1002391315915657216
51742969,1002391315915657216
23083404,1002391315915657216
905114642254635008,1002391315915657216
542088166,1002391315915657216
839977893312757760,1002391315915657216
948737816053379072,1002391315915657216
944982397359190016,1002391315915657216
99028328,1002391315915657216
29860364,1002391315915657216
968699815,1002391315915657216
27114523,1002391315915657216
760001784,1002391315915657216
47834680,1002391315915657216
620387159,1002391315915657216
276762727,1002391315915657216
402295038,1002391315915657216
367978669,1002391315915657216
1357843922,1002391315915657216
28504041,1002391315915657216
240545644,1002391315915657216
137925269,1002391315915657216
43214455,1002391315915657216
2539570381,1002391315915657216
1009887038,1002391315915657216
98746727,1002391315915657216
79997653,1002391315915657216
1143037200,1002391315915657216
2476356833,1002391315915657216
3078942992,1002391315915657216
26562883,1002391315915657216
740352445818273792,1002391315915657216
79045500,1002391315915657216
3071045812,1002391315915657216
1618155480,1002391315915657216
544929616,1002391315915657216
23702397,1002391315915657216
221575779,1002391315915657216
309302606,1002391315915657216
1159910327443755008,1001672839030861824
