full_text,tweet_id,screen_name,user_ID
Me sitting alone in my room for the 12th straight day looking for the Batgirl film leak: https://t.co/ExzhgYZUI0,1554595102558928901,JWButta,405122520
"Check out the tweets with most impact on the trend"" WORDLE 409 X"" , calculated by @TazeitCo (free tool to track hashtags)

Tweets from @FastLaw @HeatherMWyatt @JWButta @possumbrisbane @mwolfers @DaenerysM are featuring in this report!

https://t.co/TTzdSE2sJV",1554505523504074752,JWButta,405122520
@Melarita It was a tough one!,1554477671089831941,JWButta,405122520
@spaghetti_life YES! And what about the new Jan? The new Darrin? Richie's older brother Chuck? ANSWERS PLEASE!,1554404158123417600,JWButta,405122520
@spaghetti_life Apparently they dropped the idea after a few episodes and pretended like it never happened!,1554363488495099906,JWButta,405122520
"@spaghetti_life It was in S1 EP1...Barney was telling Andy thanks for hiring him as deputy based strictly on his qualifications and Barney says ""Thanks Cousin Andy"" then Andy says ""You're welcome cousin Barney"" https://t.co/ie6jjdma4f",1554361439447572480,JWButta,405122520
"After seeing all the Wordle 409 X tweets, I am totally ok that I got a ""Phew""

Wordle 409 6/6

⬜⬜🟨⬜🟨
⬜⬜⬜⬜⬜
⬜🟨🟨🟨⬜
⬜🟩⬜🟩🟩
⬜🟩⬜🟩🟩
🟩🟩🟩🟩🟩 https://t.co/Wi2RlBn0Jy",1554354175655518210,JWButta,405122520
"@AgathaChocolats Satellite's down, I'm not fixing it.",1554282128388640771,JWButta,405122520
I grew up watching The Andy Griffith Show and am pretty sure that I have seen every episode but somehow I was today years old when I found out that Andy and Barney were cousins.,1554281074674597890,JWButta,405122520
"In six words or fewer, write a story about this photo.
#sixwordstory #WritingCommunity https://t.co/NrdsqZIuRK",1554278567164403713,JWButta,405122520
@AgathaChocolats I want my MTV.,1554278551284760576,JWButta,405122520
Caption this pic… https://t.co/EQ1gn35r4a,1554229276437893120,JWButta,405122520
"@MysterySolvent Over there to the far right, you can see the headstone from here.",1554229243160182784,JWButta,405122520
@MysterySolvent Clown and Cuntry,1554228121678782464,JWButta,405122520
What is the name of this magazine? https://t.co/vAvkdBfF4c,1554227583746801665,JWButta,405122520
@MysterySolvent Shillboard,1554227447020806146,JWButta,405122520
@FGFriendlies Thank you my friend...always a pleasure!,1554074241913524225,JWButta,405122520
@AuntMollysHouse @OfficialBlueyTV I just watched S1 EP1 and I am officially hooked! Keepy Uppy!,1554018685681033216,JWButta,405122520
"I'll Be There for You
#noeffort

#ASongOrMovieForFriends https://t.co/aXXjWTZP7p",1554015322918866950,JWButta,405122520
"It's 9 am UK/10.00 CET it's time for @FGFriendlies with your host @tweetfeelsgood !

Please join @tweetfeelsgood for a fun game with FeelGoodNFresh @ 9.30 am ET/2.30 pm UK today!

Today is #NationalGirlfriendsDay so let's play:

#ASongOrMovieForFriends https://t.co/eP8Qx4p1cZ",1554014423987240965,JWButta,405122520
"Hey! I seem to be pretty good at Heardle '80s Number 1's! 

#41

🔊🟩⬜️⬜️⬜️⬜️⬜️

#Heardle80s #Number1s #Heardle @heardle80s

https://t.co/75srkZGvUO https://t.co/01fA74fm8m",1554010466602582016,JWButta,405122520
@AgathaChocolats Just wait...Superman will be here.,1553917881137627148,JWButta,405122520
@AgathaChocolats Then they ate the phonebook.,1553916365332946944,JWButta,405122520
"In six words or fewer, write a story about this photo.
#sixwordstory #WritingCommunity https://t.co/RzS627Xc6y",1553916240229531648,JWButta,405122520
@JWButta @OfficialBlueyTV I hope you like it! I started watching it a couple years ago with the eldest granddaughter. Now Hubs and I watch it all the time. Season 3 comes out August 10th.,1553908053216563202,JWButta,405122520
"The trailblazing, talented and lovely Nichelle Nichols has crossed the final frontier. I'm gutted. RIP Nyota Uhura. https://t.co/3vzRcXGzL6",1553871802635542538,JWButta,405122520
