full_text,tweet_id,screen_name,user_ID
So good I had to share! Check out all the items I'm loving on @Poshmarkapp from @HangerHoney #poshmark #fashion #style #shopmycloset #r13 #dutchbros: https://t.co/KF1KBoWGWa https://t.co/7xab8fJ61z,1554564758405144576,hanna__lutz,56208329
Check out this listing I just added to my #Poshmark closet: GAP Thermal Henley Shirt Mens Size Large T  Waffle Knit Long Sleeve Blue NEW. https://t.co/sVkkM7wZ0p #shopmycloset @poshmarkapp,1554494837767909376,hanna__lutz,56208329
Check out this listing I just added to my #Poshmark closet: Banana Republic Ivory Camisole Tank Top Womens Size Medium V Neck Lined Cami NEW. https://t.co/N7umj0MokX #shopmycloset @poshmarkapp,1554494387610009601,hanna__lutz,56208329
Check out this listing I just added to my #Poshmark closet: Talbots Jersey Knit Dress Womens Size Small SP Navy Blue 3/4 Sleeves Cuff Pleats. https://t.co/s5q7bwhp5h #shopmycloset @poshmarkapp,1554493969823805440,hanna__lutz,56208329
Check out this listing I just added to my #Poshmark closet: Croft &amp; Barrow Flannel Vest Womens Size Small Houndstooth Black White Full NEW. https://t.co/QTzU2HIObD #shopmycloset @poshmarkapp,1554493518940217346,hanna__lutz,56208329
Check out this listing I just added to my #Poshmark closet: Harley Davidson T-Shirt Womens Size Large Myrtle Beach Gray Short Sleeve 2014. https://t.co/TTnzkfi4lt #shopmycloset @poshmarkapp,1554493118552059904,hanna__lutz,56208329
Check out this listing I just added to my #Poshmark closet: Aerie Cotton Gauze Peasant Top Women Size Small Olive Green Angel Cuffs Lace Up. https://t.co/jF17cCrzJR #shopmycloset @poshmarkapp,1554492658671820801,hanna__lutz,56208329
So good I had to share! Check out all the items I'm loving on @Poshmarkapp #poshmark #fashion #style #shopmycloset #callitspring #jcrew #veronicabeard: https://t.co/SZjAs6LiAt https://t.co/rUdsEomjk8,1554474144263454722,hanna__lutz,56208329
So good I had to share! Check out all the items I'm loving on @Poshmarkapp from @michelle6161 #poshmark #fashion #style #shopmycloset #ivoryella #forever21: https://t.co/sn7bNoFpaZ https://t.co/SP5KhHThk4,1554383599188656128,hanna__lutz,56208329
So good I had to share! Check out all the items I'm loving on @Poshmarkapp from @Unfiltered2005 #poshmark #fashion #style #shopmycloset #bananarepublic #juicycouture #whitehouseblackmarket: https://t.co/xVULPbsYTS https://t.co/qbRc83mjoQ,1554292978469855233,hanna__lutz,56208329
Check out this listing I just added to my #Poshmark closet: J. Jill Authentic Fit Slim-Leg Jeans Womens Size 28 Barley 5 Pocket Ankle Length. https://t.co/uiXxZJaajt #shopmycloset @poshmarkapp,1554226029266292736,hanna__lutz,56208329
Check out this listing I just added to my #Poshmark closet: J. Jill Affinity Slim Leg Pants Size 4X Soft Cotton Knit Pull on BlueShadow New. https://t.co/59v2G07EJz #shopmycloset @poshmarkapp,1554225996319969280,hanna__lutz,56208329
Check out this listing I just added to my #Poshmark closet: J. Jill Essential Ponte Slim-Leg Pants Womens SIze 3X Dark Fig Pull On Knit NEW. https://t.co/ACYGayiYfx #shopmycloset @poshmarkapp,1554225959204634625,hanna__lutz,56208329
Shop my closet on @poshmarkapp: https://t.co/XF9K9Lk3JD. Sign up with my code GLAMOURISH and get $10. #Poshmark #shopmycloset,1554223844906323968,hanna__lutz,56208329
So good I had to share! Check out all the items I'm loving on @Poshmarkapp #poshmark #fashion #style #shopmycloset #pomina #simplysouthern #showmeyourmumu: https://t.co/atA9LHeWy8 https://t.co/noqYg7Kvhr,1554202260300738560,hanna__lutz,56208329
Check out this listing I just added to my #Poshmark closet: Vintage Bonnie Jean Dress Little Girls 4T White Nautical Accordion Pleats Bow. https://t.co/s6bKmZY77T #shopmycloset @poshmarkapp,1554198664972668929,hanna__lutz,56208329
Check out this listing I just added to my #Poshmark closet: Vintage BabyGro Romper Size 18 Months Sunsuit Rainbow Stripe Snap Crotch USA. https://t.co/orMr0Q9YIn #shopmycloset @poshmarkapp,1554195794814713862,hanna__lutz,56208329
