full_text,tweet_id,screen_name,user_ID
"MLB PICKS 8/2

Cubs Cardinals F5 U4.5

PARLAY
Padres Gm 1/Brewers ML",1554582009917440000,SubParlay,1116162657931997184
"ADDED:

PARLAY
Botic VDZ/Khachanov",1554579348547674113,SubParlay,1116162657931997184
"TENNIS PICKS 8/2

PARLAY
Kubler/Albot
Kanepi/Andreescu
Purcell/Brooksby
Rublev/Evans
Kalinskaya/Goffin
Kokkinakis/Botic VDZ",1554548666916081665,SubParlay,1116162657931997184
"Rockies +1.5❌
Orioles +130✅
Orioles Rangers O8✅

PARLAY
Mets/White Sox ML✅❌ https://t.co/TY7BDW2V4c",1554485075030458372,SubParlay,1116162657931997184
"MLB PICKS 8/1

Rockies +1.5
Orioles +130
Orioles Rangers O8

PARLAY
Mets/White Sox ML",1554247896417112069,SubParlay,1116162657931997184
"TENNIS PICK 8/1

PARLAY
Kubler/Albot
Kanepi/Andreescu",1553966228301135872,SubParlay,1116162657931997184
"Rays/White Sox ML❌✅
Phillies/Dodgers ML✅✅
Phillies ML/Nola 7+ K’s✅✅ https://t.co/wT0p5lseoO",1553940741885394944,SubParlay,1116162657931997184
"MLB PICKS 7/31

PARLAY
Rays/White Sox ML
Phillies/Dodgers ML
Phillies ML/Nola 7+ K’s",1553814986115391488,SubParlay,1116162657931997184
"Dober/Ankalaev✅✅
Morales/Ankalaev/Nunes✅✅✅ https://t.co/Zd0LwfJ3xC",1553763396167819266,SubParlay,1116162657931997184
"UFC 277 PICKS 7/30

PARLAY
Dober/Ankalaev
Morales/Ankalaev/Nunes",1553554753795260417,SubParlay,1116162657931997184
"Dishing out $1,000 free play tonight for #UFC277 because why not

All you have to do is follow, like, &amp; retweet and you’re entered

Enjoy the action tonight, bless up 🙏",1553484624562688006,SubParlay,1116162657931997184
@allie_sports @shakeshack @CaesarsSports cutest ever,1553471072095322112,SubParlay,1116162657931997184
Kontaveit/Lajovic❌❌ https://t.co/fYT3b2RJpQ,1553121842533175296,SubParlay,1116162657931997184
"TENNIS PICK 7/29

Kontaveit/Lajovic",1552899835690369026,SubParlay,1116162657931997184
Paul/Isner✅✅ https://t.co/bjNCcPhNJ5,1552898574714912769,SubParlay,1116162657931997184
"TENNIS PICK 7/28

PARLAY
Paul/Isner",1552789302068879361,SubParlay,1116162657931997184
Giants ML❌ https://t.co/MHSfWilh7Z,1552469251771998214,SubParlay,1116162657931997184
"MLB PICK 7/27

Giants ML",1552379195187159042,SubParlay,1116162657931997184
"Braves -1.5❌
Braves Phillies O8✅
Royals ML✅
Red Sox ML✅

PARLAY
Dodgers -1.5/Orioles +1.5❌✅ https://t.co/G2PFneoEn4",1552074069889138688,SubParlay,1116162657931997184
Munar/Cecchinato/Nakashima✅✅✅ https://t.co/qTg1VJh1B6,1551753243264516097,SubParlay,1116162657931997184
"MLB PICKS 7/25

Braves -1.5
Braves Phillies O8
Royals ML
Red Sox ML

PARLAY
Dodgers -1.5/Orioles +1.5",1551753051228278785,SubParlay,1116162657931997184
"TENNIS PICKS 7/25

PARLAY
Munar/Cecchinato/Nakashima",1551617456891912195,SubParlay,1116162657931997184
Alcaraz/Begu❌✅ https://t.co/Lgr8FFAodL,1551617323995373568,SubParlay,1116162657931997184
"TENNIS PICKS 7/23

PARLAY
Alcaraz/Begu",1551065392138932227,SubParlay,1116162657931997184
"Astros Mariners U7✅
Angels Braves O8.5✅
Mets -1.5❌
Braves -1.5✅
Cardinals -1.5✅

PARLAY
Cardinals/Yankees ML✅❌
Mets/Dodgers ML❌✅ https://t.co/yQT4GyCpgv",1551064957265002496,SubParlay,1116162657931997184
"ADDED:

Cardinals -1.5

PARLAY
Cardinals/Yankees ML
Mets/Dodgers ML",1550977073845510145,SubParlay,1116162657931997184
"Curtis ML❌
Craig ML +124❌

PARLAY
McCann/Aspinall✅❌
Dalby/Aspinall✅❌
Mokaev/Diakese/McCann✅✅✅
Herbert/Pimblett✅✅ https://t.co/zR9Ef7I2mN",1550963183095091201,SubParlay,1116162657931997184
"MLB PICKS 7/23

Astros Mariners U7
Angels Braves O8.5
Mets -1.5
Braves -1.5",1550938012854489089,SubParlay,1116162657931997184
