full_text,tweet_id,screen_name,user_ID
Smh tsa took my body wash smh,1554605281358872577,Sammy_Socialite,30495583
@laflare_corleon Yeah i loved that. It’s real tho,1554605041759264768,Sammy_Socialite,30495583
I respect that https://t.co/PPM5YvlRLR,1554605026257035268,Sammy_Socialite,30495583
Lmfao I HATE THAT https://t.co/td3jRMqXUR,1554604956136755200,Sammy_Socialite,30495583
That explains this wild weather https://t.co/ZGTWiIQTx2,1554604791791329280,Sammy_Socialite,30495583
@_itsChelseaaaa Omg lol I’ll still be there on the 13th for a lil,1554603151654780931,Sammy_Socialite,30495583
#Falcons Cordarrelle Patterson says the whole team misses Calvin Ridley.,1554599808836538369,Sammy_Socialite,30495583
Acuna should be getting up in the 300 million range and Ozzie should be 120-150 mill…35?! 😅,1554599532121526272,Sammy_Socialite,30495583
@_itsChelseaaaa Aug 12,1554599489243152386,Sammy_Socialite,30495583
@CROWNME_8714 I heard lol,1554598305124024320,Sammy_Socialite,30495583
@_itsChelseaaaa And wherever I get shipped for my on call days,1554598275336097792,Sammy_Socialite,30495583
"@_itsChelseaaaa Lol I got an ATL trip, Vegas, DC, Tampa, Tallahassee and Birmingham this time around",1554598227349049346,Sammy_Socialite,30495583
My girlfriend got me a maybach van and it’s fire she listen 2 all my conversations lollll 🥹🫠 I was like damn why you do that she was like because I love you … I was like no you don’t she was like yes I do … I was like no you don’t she was like yes I do  Jatavia Johnson a mess,1554598047228764161,Sammy_Socialite,30495583
#Pvalley is wild but #AllTheQueensMen is wilder,1554597839153627137,Sammy_Socialite,30495583
@_itsChelseaaaa Won’t be seeing you there! Lol,1554597751119298560,Sammy_Socialite,30495583
I told y’all I was a hoe -Patrice Woodbine,1554597387490021376,Sammy_Socialite,30495583
🙄🙄🙄 https://t.co/ROoCbRfW2S,1554595828471316486,Sammy_Socialite,30495583
@Sammy_Socialite Stop !!,1554595651622768645,Sammy_Socialite,30495583
@Sammy_Socialite really QB WR connections they get right in camp they gone be tight on game day,1554595640117788672,Sammy_Socialite,30495583
@Sammy_Socialite 😭😭😭😭😭😭,1554595633369079808,Sammy_Socialite,30495583
And I love that for her lol https://t.co/KKrA1Y5OEE,1554565219845869573,Sammy_Socialite,30495583
Vegas is shenelica joseline Bettencourt best song,1554565180947849219,Sammy_Socialite,30495583
@StanMan__ What you be watching for,1554560654534737924,Sammy_Socialite,30495583
If you want to win a bet week 1 of NFL season as far as players go you gotta pay attention to training camp it tells a lot,1554560603338981376,Sammy_Socialite,30495583
@suckafreetee2x @Just_JayyTee CB is the goat and there ain’t much more to say about that lol,1554560452297908225,Sammy_Socialite,30495583
@suckafreetee2x No ❤️I don’t think I’ll do that. LMAOO. The gag is that he’s actually on YOUR SIDE. He don’t fuck with CB like that 😭😭😭,1554560337655074816,Sammy_Socialite,30495583
"@MotherofWords 🤣 aye Beyoncé said it, not me",1554552805934989314,Sammy_Socialite,30495583
"Beyoncé said she thought she was killing that shit I told her go harder. 

Miss Chloe somewhere sick",1554552136536580096,Sammy_Socialite,30495583
Only a real man can tame me. Phew Beyoncé,1554551312494346245,Sammy_Socialite,30495583
@Champangecrews Lol yes. Black and beautiful lol,1554550826957508608,Sammy_Socialite,30495583
@Sammy_Socialite Oooo no wonder the flights was higher lol oh it’s gonna be black black this weekend lol,1554550751397027840,Sammy_Socialite,30495583
@Riichie_Blaine Yes because energy into break my soul is everything,1554550728403853312,Sammy_Socialite,30495583
@Sammy_Socialite Loving it more with the transitions,1554550628478754816,Sammy_Socialite,30495583
Virgos so lucky to have a Virgos Grove,1554548478365286403,Sammy_Socialite,30495583
It’s Break My Soul still for me,1554546169128304644,Sammy_Socialite,30495583
@Just_JayyTee Lol I’ll tel him,1554540568604278784,Sammy_Socialite,30495583
Smdheinfensjwkcbfj lemme hear the new version @BartenderTuck https://t.co/ambGrvwvPa,1554539144982007811,Sammy_Socialite,30495583
@MotherofWords 🙄 Kyler is the obvious choice,1554538329810550789,Sammy_Socialite,30495583
RIP Skoob!,1554538265524535296,Sammy_Socialite,30495583
It’s crazy 😝 I’ll be in Vegas for NABJ convention,1554537812103503873,Sammy_Socialite,30495583
Ion appreciate Keyshawn tryna escape NOW after what she did to Diamond,1554527228901433352,Sammy_Socialite,30495583
Beyoncé ain’t have to come for Kim K cheap spandex like that tho,1554525623980376066,Sammy_Socialite,30495583
Fan me off watch my wrist go,1554525508989231104,Sammy_Socialite,30495583
🤣🤣 @TrademarkMe_ my version of meal prep https://t.co/HrPVO5bcr4,1554520682465304579,Sammy_Socialite,30495583
"Do your dance Hollywood 😎

@CALLME_WOOD https://t.co/jA6FlfG0cE",1554520401748938752,Sammy_Socialite,30495583
Put that shit On Hollyyywooooddd https://t.co/hS7kHIHjcQ,1554520371449176064,Sammy_Socialite,30495583
@Tamantha_5 OMG they broke up?,1554520237600641024,Sammy_Socialite,30495583
He trash she’s trash. Just trash https://t.co/y38BHFBdrn,1554520121498112004,Sammy_Socialite,30495583
put that shit On https://t.co/uam7pZK1dt,1554519224244117504,Sammy_Socialite,30495583
Yikes. Not my boy Tim Patrick https://t.co/EY3OyGKozP,1554518487846031361,Sammy_Socialite,30495583
Sir please https://t.co/ppFxpNNqWT,1554518179115925512,Sammy_Socialite,30495583
Energy 🔥,1554518098073493506,Sammy_Socialite,30495583
https://t.co/ePHKKpNdHe,1554518040280186881,Sammy_Socialite,30495583
Spaceships fly #NopeMovie #CuffIt,1554517226232881160,Sammy_Socialite,30495583
Put that Shit On https://t.co/zWB6FSZtzz,1554516992970850308,Sammy_Socialite,30495583
UNIQUE,1554516447266734082,Sammy_Socialite,30495583
If Beyoncé gotta take out the “c*nty* background vocals in Pure/Honey ima be hot,1554508784659202048,Sammy_Socialite,30495583
Just visited my old job and they look so depressed. 🤣 that’s why I had to get out,1554508445293973505,Sammy_Socialite,30495583
We went from “come over” to “come home” 😍😘 https://t.co/tl7M7e9oSi,1554508282026418176,Sammy_Socialite,30495583
The NFL docks the #Dolphins a first round pick and a future third round pick. https://t.co/UBOVtJjm33,1554508263500161024,Sammy_Socialite,30495583
If they caught the Dolphins on this I know Flores is about to make out like a bandit lol.,1554508241002004480,Sammy_Socialite,30495583
You really can’t use the word “spaz” in music no more?,1554504684148342788,Sammy_Socialite,30495583
Where’s the official source for that woman getting her degree taken? Know how y’all are.,1554504673826000897,Sammy_Socialite,30495583
Pose would have ATE this song https://t.co/MdcI5HwqH0,1554495436085510144,Sammy_Socialite,30495583
Let’s dance all summer!  https://t.co/Th0HzbAMix,1554492700300304386,Sammy_Socialite,30495583
Fan me off I’m hot hot hot,1554492444137254912,Sammy_Socialite,30495583
Drinking my water minding my biz,1554492375271182336,Sammy_Socialite,30495583
Heated is that GURL ok,1554492286049947651,Sammy_Socialite,30495583
10 10 10 across the floor,1554492212788039681,Sammy_Socialite,30495583
"@brittnanbratt I made a playlist with Beyoncé, Drake and Chris brown lol",1554484905647775750,Sammy_Socialite,30495583
@brittnanbratt Same sis!,1554484053239369730,Sammy_Socialite,30495583
Renaissance got me in a chokehold.,1554484020733411328,Sammy_Socialite,30495583
Watching #AbbottElementary back to back really just shows how goofy Ava is frfr because I’m crying at her dumb self,1554482491033001987,Sammy_Socialite,30495583
Back to Vegas this weekend,1554481975351812101,Sammy_Socialite,30495583
somebody teach me the five elements!!! cuz I’m tryna battle at the renaissance tour lmfaoooo https://t.co/T204Dnt5p5,1554481767335297031,Sammy_Socialite,30495583
.@chrisbrown via Instagram Story. https://t.co/ycrCZKo8Jg,1554481285439053827,Sammy_Socialite,30495583
Lmfaaaoooo happens easily with that fire transition https://t.co/dKdXK5UTYY,1554480128561930240,Sammy_Socialite,30495583
