full_text,tweet_id,screen_name,user_ID
Watching Celebrity Family Feud S8E4 on Hulu.,1554607303533510656,ToneeRhianRose,16976699
Watching Mysteries Decoded. https://t.co/9u6ACcaStc,1554566307709915140,ToneeRhianRose,16976699
Watching PBS's Expedition with Steve Backshall ep Kamchatka: Expedition Grizzly River. https://t.co/CoKgGwE1gb,1554395635314561028,ToneeRhianRose,16976699
Watching The Bold &amp; the Beautiful. https://t.co/ftFiFCQFEm,1554385323886624768,ToneeRhianRose,16976699
Watching The Young &amp; the Restless. https://t.co/mFBvtIYKFe,1554364856882679811,ToneeRhianRose,16976699
Watching PBS's NOVA ep NOVA Universe Revealed: Age of Stars. https://t.co/j4eiVMPn9T,1554327862626361344,ToneeRhianRose,16976699
Watching PBS's The Green Planet ep Tropical Worlds. https://t.co/9XDfNwvVC7,1554308165021442050,ToneeRhianRose,16976699
"Amazing how they wanna force us to have kids, but then wanna take away the means for single mothers to take care of these kids &amp; keep them ALIVE! Yeah these ppl are really pro-life, right? (/_&lt;)

Republican Wants to BAN Child Support to Stop Abortions https://t.co/lTkxuIzEap",1554236077401145345,ToneeRhianRose,16976699
Watching Big Brother. https://t.co/2OrVKg9p1y,1554200814276775936,ToneeRhianRose,16976699
Watching Dark Shadows S1E29. https://t.co/Azn2zpx3lD,1554057499631915010,ToneeRhianRose,16976699
"It's Herman Melville's b-day! 🥳🎉🎂 Enjoy this book! 📘

Moby Dick https://t.co/hqqpzQULzO",1554052565565931522,ToneeRhianRose,16976699
"Happy Lammas! 🍞

Blessed be! )O( https://t.co/LfUfhxJQtD https://t.co/tVE2rnGWjt",1554050905095421953,ToneeRhianRose,16976699
"Watching PBS's The Great Muslim American Road Trip ep Life is a Highway: Chicago to Joplin, Missouri. https://t.co/SXOYF3tWLY",1554036509946400769,ToneeRhianRose,16976699
Watching PBS's America Outdoors with Baratunde Thurston ep Death Valley: Life Blooms. https://t.co/PW0pD8kjOr,1554019554535276547,ToneeRhianRose,16976699
Watching Crime Without Punishment: Fighting for Justice. https://t.co/wxbXw843XX,1553958316015030275,ToneeRhianRose,16976699
"Good lord ppl are so stupid to believe in this bullshit! Next ppl will be saying he's a lizard person! I watched a doc the other day about Sherry Shriner &amp; she's the 1 who came up with this crap! (/_&lt;)

https://t.co/cZxTTNXVpL",1553896848355725319,ToneeRhianRose,16976699
"Watching 48 Hours.

https://t.co/g0rHTUVUnN
https://t.co/cEUCqQrWwd",1553842216602374146,ToneeRhianRose,16976699
Watching Dark Shadows S1E28. https://t.co/cANeFrJjEF,1553693750337101824,ToneeRhianRose,16976699
Watching General Hospital S59E211-S59E215 on Hulu.,1553628542184865792,ToneeRhianRose,16976699
"Yesterday was Emily Brontë's b-day! 🥳🎉🎂 Enjoy this book! 📘

Wuthering Heights https://t.co/mN3nqHyn0V",1553613282845642753,ToneeRhianRose,16976699
"@SupDaily You, but I guess you can't follow yourself, huh? 😉🤣 I follow a lot of celebs. If you'd like, you can go through my Following list &amp; follow whomever you'd interested in. A lot are actors from my favorite soaps Y&amp;R/B&amp;B or are voice actors from anime. https://t.co/cp42n3J2yT",1553571355320279042,ToneeRhianRose,16976699
Watching Secret Celebrity Renovation. https://t.co/c1rcxyXhYQ,1553521636804116482,ToneeRhianRose,16976699
Watching Dark Shadows S1E27. https://t.co/7DtSN1qKps,1553326531832954882,ToneeRhianRose,16976699
