full_text,tweet_id,screen_name,user_ID
"I pray my brothers don't really go thru a woman's phone, be a man and drink the pain away.",1554595358344454145,DaRealJusto,152055419
Degrom -350 and the runline is -195 lmaooooo man cmon 🤣🤣🤣🤣,1554551310736916480,DaRealJusto,152055419
You will touch sooo much money in August! 🤩 claiming it now..,1554549933423861760,DaRealJusto,152055419
Your self doubt is making a lot of people rich!,1554549262767251458,DaRealJusto,152055419
ALL THE GOOD WOMEN DEAD OR IN JAIL 😔💔,1554546933905211392,DaRealJusto,152055419
I know y’all will fuck dudes because y’all be fucking ugly girls too much 🥴,1554533153007702016,DaRealJusto,152055419
I like this https://t.co/spEzf7s02Y,1554524456743215111,DaRealJusto,152055419
@JeffPassan @BuddyDem I could be a GM my boy 😎,1554524413474881538,DaRealJusto,152055419
My sources told me it was the Dodgers 🤣🤣🤣 https://t.co/dH8YNCZrWX,1554521953171537923,DaRealJusto,152055419
Gonna be a beautiful baseball betting day 🤪,1554192928238718977,DaRealJusto,152055419
That Monday workout always hit,1554163791948140544,DaRealJusto,152055419
I’m careful about the things I entertain and the music I listen to starting my day.,1554135160009924610,DaRealJusto,152055419
@BuddyDem …………John Collins not moving me.,1554125825200488448,DaRealJusto,152055419
Great week ahead,1554122805796536323,DaRealJusto,152055419
you’ll always be favored if you do right by people and give credit due when necessary.,1554122556675866626,DaRealJusto,152055419
I think the league grouped all 24+ women into one big case. They wasn’t moved by the total volume,1554121025264254976,DaRealJusto,152055419
It wouldn’t be weird if you operated in integrity!,1554112081221279745,DaRealJusto,152055419
"For someone to make an active decision to never speak to you again, and they deeply care/ love you that tells you A LOT. They’re aware they have to go through a grieving process over that decision to remove you and still pick that over having you in their life??? Speaks volumes.",1553935420957810692,DaRealJusto,152055419
@Aint_NoWay_Jose Thursday 😅,1553934605794922496,DaRealJusto,152055419
One things for sure Two things for certain no matter how shit goes I’m always relevant cuz I do right by people.,1553934548261634050,DaRealJusto,152055419
Great weekend betting baseball 😅,1553906789007106049,DaRealJusto,152055419
https://t.co/M8CJnbyMWh,1553865701328388096,DaRealJusto,152055419
Y’all better stop believing peoples side of the story cuz you close to them they be lying too,1553859286501056512,DaRealJusto,152055419
NFL players attempting to form a sentence after an 82 game season https://t.co/4sFxesVWYM https://t.co/7B77s0TDsv,1553844238370177024,DaRealJusto,152055419
Niggas be watching ya every move. Acting they don’t!,1553827583514578948,DaRealJusto,152055419
I'm this old😬😭😂 https://t.co/CUfyE2I6H8,1553795215898574848,DaRealJusto,152055419
Damn why Gut busters be closed on Sunday’s?,1553765960800239617,DaRealJusto,152055419
Hating on someone doing better is not gonna bring you better!,1553591039612567554,DaRealJusto,152055419
That’s why y’all first baby mama be looking like plumbers.,1553525178898026496,DaRealJusto,152055419
Imagine pulling up on your opp &amp; he pulls this out 😭😭😭😭 https://t.co/AcmojQGTB0,1553482558335328257,DaRealJusto,152055419
At this big age I ain’t hitting nothing that ain’t quality. I ain’t horny enough for desperate sex.,1553482483055923201,DaRealJusto,152055419
Another excellent baseball day ahead,1553473267733766144,DaRealJusto,152055419
"Biden got COVID twice in 2 weeks, first ballot nasty hall of famer.",1553464033826725888,DaRealJusto,152055419
Dolphins might be special this year,1553463808349409280,DaRealJusto,152055419
Took a stab with the tigers today blue jays don’t move me,1553442837378785280,DaRealJusto,152055419
Just ran some sprints on this beautiful Saturday,1553432876452089858,DaRealJusto,152055419
@Aint_NoWay_Jose Concession stand food lol,1553432658688057346,DaRealJusto,152055419
@DaRealJusto Omm he slide on that bih.,1553422279509508097,DaRealJusto,152055419
This kinda hard https://t.co/JY9cWcK5EU,1553370895430844417,DaRealJusto,152055419
Water. https://t.co/cD6H8fhe8W,1553249842566250496,DaRealJusto,152055419
YES IT WAS 😎 https://t.co/WpYAanlW3u,1553227573806747648,DaRealJusto,152055419
