full_text,tweet_id,screen_name,user_ID
"We are looking for help with our Ox Cord Instagram! If you’re interested, please DM us or @TheRealCruzOx! 

We’re doing live events in the fall and a chance to make some $$! https://t.co/nXYcgfzizK",1554609473712541696,BootKreweMedia,1253155244730613760
Some Sam Mills highlights to make your night better! https://t.co/0AxaBzyVJ4,1554598272899158017,BootKreweMedia,1253155244730613760
"PJ Williams intercept-served Tom Brady last season, and the #Saints just watched the play in a meeting. When asked about going down instead of taking it to the house, @PjWilliams_26 said, “We was in the heat of the battle, so I wasn’t even thinking about that.”

@BootKreweMedia https://t.co/RRoiyb9YmB",1554594166545457152,BootKreweMedia,1253155244730613760
"Smoke Monday has reportedly suffered a knee injury at training camp. The Saints still have depth at safety, but this is unfortunate news for the rookie.
https://t.co/X3pRsnbeya",1554586283388936193,BootKreweMedia,1253155244730613760
"A @lifeseenbylala appreciation post. 

She continues to crush it 🔥🔥🔥 https://t.co/pIG8N0mgsU",1554581999100248064,BootKreweMedia,1253155244730613760
"Michael Thomas looks like 'Can't Guard Mike' more and more each day. How did Trevor Penning look?

All that and more on today's @BootKreweMedia episode of 'The Drive' presented by @RoyalHondaNOLA

https://t.co/cFjKM6HrRk https://t.co/QAAvPT7nZJ",1554581550657933312,BootKreweMedia,1253155244730613760
"#Saints rookie S Smoke Monday suffered what’s believed to be a significant knee injury today, sources say. Monday, an undrafted free agent from Auburn, has drawn praise from teammate Tyrann Mathieu for his ability and study habits.",1554580665739497476,BootKreweMedia,1253155244730613760
"Don’t worry @betonline_ag we kept the receipts. 

The pettiness down here is unmatched. https://t.co/qOrz1ODgHU",1554572891576049666,BootKreweMedia,1253155244730613760
@DKSportsbook is better anyways https://t.co/kvwOJ09csu,1554567167257059330,BootKreweMedia,1253155244730613760
Saints are signing TE Chris Herndon. Here are my early thoughts on the move: https://t.co/NTr1hhtyxe,1554560020699832321,BootKreweMedia,1253155244730613760
"LSU Endzones
1, 2, or 3? https://t.co/u1LqRvNYT7",1554559548807172099,BootKreweMedia,1253155244730613760
"@OneTeamOnePod MAN! 

#1 brings me back to the Skylar Green Days",1554559537616719873,BootKreweMedia,1253155244730613760
"Idk if the league is ready to see “Pissed Off Zion” but I sure as hell am. 

MVP season loading…. https://t.co/PrdK133kgI",1554556147461459968,BootKreweMedia,1253155244730613760
