full_text,tweet_id,screen_name,user_ID
untitled 08 by Kendrick,1514871572590383110,imnotAher,1111023211532218369
idk why but this lives rent free in my head https://t.co/ooPq5hpEDh,1514687984293007369,imnotAher,1111023211532218369
Nothing worse than people who swear the world revolves around them,1514652060767117314,imnotAher,1111023211532218369
Vladdy single handily destroyed us last night. MVP season type shit,1514614679854755851,imnotAher,1111023211532218369
DAMN really came out 5 years ago,1514608512084578320,imnotAher,1111023211532218369
Managers really gotta learn to stop showing favoritism at work,1514602068039770136,imnotAher,1111023211532218369
1 hit away from making a $900 come up ://,1514469809123119111,imnotAher,1111023211532218369
