full_text,tweet_id,screen_name,user_ID
I've just watched episode S11 | E24 of Grey's Anatomy! https://t.co/Kh0m4t3Ju8 #tvtime https://t.co/i7zdmGd9GK,1514022235551510528,lulu4christ,60490026
I've just watched episode S11 | E23 of Grey's Anatomy! https://t.co/Nb6bhmOuGs #tvtime https://t.co/fXSXrGtBDb,1514021622365179910,lulu4christ,60490026
I've just watched episode S11 | E22 of Grey's Anatomy! https://t.co/SANZTTasSm #tvtime https://t.co/jutJOVNIqT,1514020551144218626,lulu4christ,60490026
I've just watched episode S11 | E21 of Grey's Anatomy! https://t.co/X3o4pOlQYl #tvtime https://t.co/YV5HHNi1mT,1514018737002889217,lulu4christ,60490026
I've just watched episode S25 | E102 of The People's Court! https://t.co/dGJqQ4G47e #tvtime https://t.co/qdGzbcsqk5,1514018522791297028,lulu4christ,60490026
I've just watched episode S05 | E171 of Tomorrow is Ours! https://t.co/WQlGvcej0P #tvtime https://t.co/zDFe52Bf6v,1514017101438242826,lulu4christ,60490026
I've just watched episode S57 | E135 of Days of Our Lives! https://t.co/NYzTmBFRHF #tvtime https://t.co/gFiLrcVrzG,1514016838740500482,lulu4christ,60490026
I've just watched episode S57 | E134 of Days of Our Lives! https://t.co/hlVQSEyxhe #tvtime https://t.co/Ms7pbjtvNs,1514016688949403658,lulu4christ,60490026
I've just watched episode S19 | E62 of Watch What Happens Live with Andy Cohen! https://t.co/Hy3ZQIFt9b #tvtime https://t.co/VY94sd0qUM,1514016410854469632,lulu4christ,60490026
I've just watched episode S14 | E74 of The Rachel Maddow Show! https://t.co/1BgRdlUakM #tvtime https://t.co/8u9xoch6AG,1514016255082221570,lulu4christ,60490026
