full_text,tweet_id,screen_name,user_ID
How can you not be romantic about baseball ? Wish the video would've showed how loud we were chanting Freddie's name. Mark it down for another awesome Dodger Stadium memory....it's my favorite place in the world for a reason #AlwaysLA https://t.co/Mr8xV324Qc,1514861313079451650,ponchoman78,2367873391
Beer prices at Dodger Stadium actually went down.....I'm astonished.,1514759286362058755,ponchoman78,2367873391
Dodger Stadium gonna be rockin tomorrow #AlwaysLA,1514425716896460801,ponchoman78,2367873391
