full_text,tweet_id,screen_name,user_ID
Man hit the same bank like its a ATM.... https://t.co/TmqNeutqSg,1514797303969722373,stilldabeast73,459823706
"I got to work saturday so I told my MIL dont come over until sunday...Im gonna have em face off and 
Chris Leben each other to the death.. https://t.co/qFaY7Ka8kw",1514751846392516624,stilldabeast73,459823706
What the entire fuck..... https://t.co/P1F8RJBb8I,1514710696403087361,stilldabeast73,459823706
"I pray some big cute sweaty girl in hot ass Phoenix gave BHS some ""please pay my rent head"" for his 22nd birthday yesterday... https://t.co/TTwpRvwRSg",1514664251021012998,stilldabeast73,459823706
I however am weird AF and built broken https://t.co/Ka05pDQAII,1514663567433347077,stilldabeast73,459823706
