full_text,tweet_id,screen_name,user_ID
Having too much to say could lead to a letdown right now. You ... More for Pisces https://t.co/4lIV3BIf5y,1514551627633491971,SkyLifeReik,23639365
I thought i was the only one https://t.co/MaRzczZhvv,1514499448239529985,SkyLifeReik,23639365
Yo that laser in the football to spot first downs is dope n better then bringing out the chains n depending on human spotting it… but nfl has way more money y haven’t they thought of that,1514277560477175809,SkyLifeReik,23639365
