full_text,tweet_id,screen_name,user_ID
Been saying for a while #Steelers should trade up for QB Pickett. He’s better than Willis. @dlolley_pgh @WilliamsonNFL @gerrydulac @Dejan_Kovacevic @BobLabriola,1513626008532000771,MatthewAlan6621,1396131587981553665
#MondayThoughts #NationalPetDay https://t.co/es7gKQfxJ5,1513599857541398530,MatthewAlan6621,1396131587981553665
#NationalPetDay #Mondayvibes,1513599591626727435,MatthewAlan6621,1396131587981553665
Been saying Wyatt is better than Davis @GeorgiaFootball for a while. @BobLabriola endorsed. #Steelers #DKPS @Dejan_Kovacevic,1513588930729451521,MatthewAlan6621,1396131587981553665
