full_text,tweet_id,screen_name,user_ID
2019 Topps Update Will Smith Catchers Gear RC US199 PSA 10 Gem Mint Dodgers #thehobby #mlb https://t.co/qiIq3ZMIH8,1514777297131245571,CryptoBrak,950057190559244293
2020 Topps Gavin Lux Rookie RC 292 PSA 10 Gem Mint Dodgers #thehobby #mlb https://t.co/3WpMW7Rtnl,1514773152064163841,CryptoBrak,950057190559244293
2020 Bowman Chrome Mega Box Elehuris Montero BCP171 Rockies PSA 10 Gem Mint #thehobby #mlb  https://t.co/ClVwlqH66G,1514769214145392646,CryptoBrak,950057190559244293
2019 Topps Living Set 193 KEN GRIFFEY JR. Gem Mint PSA 10 Seattle Mariners HOF #thehobby #mlb  https://t.co/rL1StUbblx,1514755351068958725,CryptoBrak,950057190559244293
2019 Topps Update Vladimir Guerrero Jr. RC US62 PSA 10 Gem Mint #thehobby #mlb https://t.co/SdVDSCJuJg,1514749723244171265,CryptoBrak,950057190559244293
2019 Pete Alonso Topps Update US47 PSA 10 Gem Mint RC New York Mets #thehobby #mlb https://t.co/i1684HDESD,1514743996005892100,CryptoBrak,950057190559244293
2018 Bowman Chrome 1st Bryan Mata Refractor /499 Boston Red Sox PSA 10 Gem Mint #thehobby #mlb https://t.co/yUwZb9vHjp,1514739844123140109,CryptoBrak,950057190559244293
Ke'Bryan Hayes 2020 Bowman Chrome BCP67 PSA 10 Gem Mint Pirates #thehobby #mlb https://t.co/sGCAC2fOvz,1514737241196744716,CryptoBrak,950057190559244293
Vladimir Guerrero Jr 2019 Topps Heritage Rookie PSA 10 GEM MINT #thehobby #mlb https://t.co/MS5DSEODUi,1514735488632082433,CryptoBrak,950057190559244293
Wow...very very swell cards there. https://t.co/dh12gKhlCF,1514731077822259201,CryptoBrak,950057190559244293
