full_text,tweet_id,screen_name,user_ID
Just posted a photo @ A.E.A Design &amp; Apparel https://t.co/7RodLRBtuJ,1514618351384891393,Carpcrippler76,132220757
Just posted a photo @ A.E.A Design &amp; Apparel https://t.co/yTAk77OpxN,1512875335993413642,Carpcrippler76,132220757
Just posted a photo @ A.E.A Design &amp; Apparel https://t.co/2mq7DoVd4Q,1512439327237849091,Carpcrippler76,132220757
Just posted a photo @ A.E.A Design &amp; Apparel https://t.co/5y2PlScTC6,1507388000292024326,Carpcrippler76,132220757
Just posted a photo @ A.E.A Design &amp; Apparel https://t.co/Kun1LcLT96,1505233770823270403,Carpcrippler76,132220757
Just posted a photo @ A.E.A Design &amp; Apparel https://t.co/FvYn6gNcxT,1504837322256228353,Carpcrippler76,132220757
Just posted a photo @ A.E.A Design &amp; Apparel https://t.co/MoF8BSWFwA,1504538551572066335,Carpcrippler76,132220757
Just posted a photo @ A.E.A Design &amp; Apparel https://t.co/bCE137VKdG,1500195426590470150,Carpcrippler76,132220757
Just posted a photo @ A.E.A Design &amp; Apparel https://t.co/OLpKKZzDHO,1499775753126350852,Carpcrippler76,132220757
Just posted a photo @ A.E.A Design &amp; Apparel https://t.co/JBCp2VHUo6,1499513035588841475,Carpcrippler76,132220757
