media,url,names
nytimes,https://www.nytimes.com/section/style,The New York Times
VICE,https://www.vice.com/en/section/identity,Vice
CTmagazine,https://www.christianitytoday.com/ct/ministry/,Christianity Today
cnn,https://edition.cnn.com/style,CNN
thisisinsider,https://www.insider.com/lifestyle,Insider
FoxBusiness,https://www.foxbusiness.com/lifestyle,Fox Business
WSJ,https://www.wsj.com/news/life-work/fashion?mod=nav_top_subsection,Opinion: Potomac Watch
forbes,https://www.forbes.com/lifestyle/,Forbes
guardian,https://www.theguardian.com/us/lifeandstyle,The Guardian
washingtonpost,https://www.washingtonpost.com/lifestyle/?itid=nb_lifestyle,Washington Post
marketwatch,https://www.marketwatch.com/live-qa?mod=side_nav,MarketWatch
latimes,https://www.latimes.com/lifestyle,LA Times
USATODAY,https://www.usatoday.com/life/,USA Today
WSJ,https://www.wsj.com/news/life-work?mod=nav_left_section,Wall Street Journal
npr,https://www.npr.org/lifekit,NPR
ABC,https://abcnews.go.com/Lifestyle,ABC News
Reuters,https://www.reuters.com/lifestyle/,Reuters
AP,https://apnews.com/hub/lifestyle?utm_source=apnewsnav&utm_medium=navigation,AP
