media,url,names
nytimes,https://www.nytimes.com/section/books,The New York Times
voxdotcom,https://www.vox.com/culture,Vox
VICE,https://www.vice.com/en/section/entertainment,Vice
CTmagazine,https://www.christianitytoday.com/ct/topics/e/entertainment/,Christianity Today
cnn,https://edition.cnn.com/entertainment,CNN
buzzfeed,https://www.buzzfeednews.com/section/arts-entertainment,Buzzfeed News
thisisinsider,https://www.insider.com/entertainment,Insider
FoxBusiness,https://www.foxbusiness.com/category/rich-famous,Fox Business
WSJ,https://www.wsj.com/news/types/arts-entertainment?mod=nav_top_subsection,Opinion: Potomac Watch
forbes,https://www.forbes.com/games/,Forbes
guardian,https://www.theguardian.com/games,The Guardian
washingtonpost,https://www.washingtonpost.com/technology/video-gaming/?itid=nb_technology_video-gaming,Washington Post
TIME,https://time.com/section/entertainment/,Time Magazine
latimes,https://www.latimes.com/entertainment-arts,LA Times
axios,https://www.axios.com/technology/gaming/,Axios
USATODAY,https://www.usatoday.com/entertainment/,USA Today
WSJ,https://www.wsj.com/news/types/arts-entertainment?mod=nav_left_subsection,Wall Street Journal
npr,https://www.npr.org/books/,NPR
ABC,https://abcnews.go.com/Entertainment,ABC News
CBSNews,https://www.cbsnews.com/entertainment/,CBS News
AP,https://apnews.com/hub/entertainment?utm_source=apnewsnav&utm_medium=navigation,AP
