index,name,media_handle,media_user_id,origin_list
101,Rush Limbaugh,rushlimbaugh,342887079,US-journo-Twitter
102,Wesley,WesleyLowery,14849562,US-journo-Twitter
103,Neil Cavuto,TeamCavuto,223970563,US-journo-Twitter
104,Jesse Watters,JesseBWatters,56561449,US-journo-Twitter
105,Steven Crowder,scrowder,19091173,US-journo-Twitter
106,Stacey Dash,REALStaceyDash,2152459489,US-journo-Twitter
107,Robert Reich,RBReich,148529707,US-journo-Twitter
108,Brian Stelter,brianstelter,14515799,US-journo-Twitter
109,Reverend Al Sharpton,TheRevAl,42389136,US-journo-Twitter
110,Sara Haines,sarahaines,15383116,US-journo-Twitter
111,Jim Acosta,Acosta,22771961,US-journo-Twitter
112,David Fahrenthold,Fahrenthold,61734492,US-journo-Twitter
113,Judge Napolitano,Judgenap,29216764,US-journo-Twitter
114,Carson Daly,CarsonDaly,17498493,US-journo-Twitter
115,Katie Pavlich,KatiePavlich,48459553,US-journo-Twitter
116,rolandsmartin,rolandsmartin,16116288,US-journo-Twitter
117,Andrea Tantaros,AndreaTantaros,36452050,US-journo-Twitter
118,Katy Tur,KatyTurNBC,39000115,US-journo-Twitter
119,Lester Holt,LesterHoltNBC,25300308,US-journo-Twitter
120,Mo Rocca,MoRocca,54275319,US-journo-Twitter
121,Naomi Klein,NaomiAKlein,189376144,US-journo-Twitter
122,Mustafa Akyol,AkyolMustafa,110528264,US-journo-Twitter
123,Nancy Grace,NancyGrace,269852626,US-journo-Twitter
124,Natalie Morales,NMoralesNBC,277165873,US-journo-Twitter
125,Charles M. Blow,CharlesMBlow,20772763,US-journo-Twitter
126,Ben Ferguson,benfergusonshow,45445747,US-journo-Twitter
127,Ronan Farrow,RonanFarrow,340613443,US-journo-Twitter
128,Dan Pfeiffer,danpfeiffer,2922928743,US-journo-Twitter
129,Martha MacCallum,marthamaccallum,46681100,US-journo-Twitter
130,Mike Allen,mikeallen,14246001,US-journo-Twitter
131,Dave Weigel,daveweigel,13524182,US-journo-Twitter
132,Dan Bongino,dbongino,232901331,US-journo-Twitter
133,Maria Elena Salinas,MariaESalinas,80654397,US-journo-Twitter
134,Beth Kanter,kanter,10297,US-journo-Twitter
135,ilia calderon,iliacalderon,29133549,US-journo-Twitter
136,S.E. Cupp,secupp,19268706,US-journo-Twitter
137,Matthew Yglesias,mattyglesias,15446531,US-journo-Twitter
138,Tamron Hall,tamronhall,21228708,US-journo-Twitter
139,Mehdi Hasan,mehdirhasan,130557513,US-journo-Twitter
140,Robert Costa,costareports,86129724,US-journo-Twitter
141,Dan Rather,DanRather,36711022,US-journo-Twitter
142,Sam Stein,samstein,15463671,US-journo-Twitter
143,Michael Eric Dyson,MichaelEDyson,55334133,US-journo-Twitter
144,ian bremmer,ianbremmer,60783724,US-journo-Twitter
145,Uma Pemmaraju,UmaPemmaraju,67966660,US-journo-Twitter
146,Satcha Pretto,satchapretto,54043630,US-journo-Twitter
147,Frank Bruni,FrankBruni,37291805,US-journo-Twitter
148,Tavis Smiley,tavissmiley,10886522,US-journo-Twitter
149,Marc Lamont Hill,marclamonthill,20068679,US-journo-Twitter
150,James Hirsen,thejimjams,13396002,US-journo-Twitter
151,Glenn Thrush,GlennThrush,19107878,US-journo-Twitter
152,jeremy scahill,jeremyscahill,23839835,US-journo-Twitter
153,Mark Halperin,MarkHalperin,184136149,US-journo-Twitter
154,Corey R. Lewandowski,CLewandowski_,4121225056,US-journo-Twitter
156,Matt Taibbi,mtaibbi,38271276,US-journo-Twitter
157,Cenk Uygur,cenkuygur,429227921,US-journo-Twitter
158,Ari Melber,AriMelber,15441965,US-journo-Twitter
159,Eugene Robinson,Eugene_Robinson,59031230,US-journo-Twitter
160,Dana Bash,DanaBashCNN,108617810,US-journo-Twitter
161,Bill Hemmer,BillHemmer,21010214,US-journo-Twitter
162,Stephen Hayes,stephenfhayes,69773058,US-journo-Twitter
163,Bill Kristol,BillKristol,2800581040,US-journo-Twitter
164,Joan Walsh,joanwalsh,1106501,US-journo-Twitter
165,Ali Velshi,AliVelshi,16378486,US-journo-Twitter
166,Mark Knoller,markknoller,31127446,US-journo-Twitter
167,Brian Kilmeade,kilmeade,43919633,US-journo-Twitter
168,Rush Limbaugh,limbaugh,22047070,US-journo-Twitter
