user_id,created_at,lang,location,time_zone,verified,listed_count,favourites_count,statuses_count,friends_count,followers_count
1194248568,2013-02-18 18:12:19+00:00,,"Columbia, Mo.",,False,104,25792,39516,1291,4278
14929063,2008-05-28 02:03:48+00:00,,"Phoenix, AZ",,False,14,6802,9471,1579,1165
164930534,2010-07-10 03:41:23+00:00,,"1816 Old Oxford, Hamilton, OH",,False,9,43,436,18,903
1214117848152301568,2020-01-06 09:33:54+00:00,,"Woodstock, Ontario",,False,5,1588,5944,191,139
23140613,2009-03-07 00:12:52+00:00,,"Arkansas, USA",,False,2,4289,1610,312,95
2251034736,2013-12-17 22:10:37+00:00,,"San Diego, CA",,False,0,692,5998,185,165
1368118584,2013-04-20 22:28:45+00:00,,"Texas, USA",,False,8,7304,2023,889,332
802242272263892992,2016-11-25 20:07:17+00:00,,United States,,False,8,203008,58905,1157,1467
375727431,2011-09-18 16:46:28+00:00,,"East Rochester, NY",,False,11,19606,12036,1846,1299
1011376667170885632,2018-06-25 22:32:42+00:00,,"Greenville, SC",,False,0,1849,2109,112,93
4872604833,2016-02-02 21:40:33+00:00,,"Franklin, TN",,False,26,168,4269,2,2023
1854408714,2013-09-11 14:08:57+00:00,,"Lake Arrowhead, CA",,False,27,1502,15137,448,9309
3214460163,2015-04-27 18:29:49+00:00,,"Mesa, AZ",,False,3,21831,8773,1124,613
3187058388,2015-05-06 23:47:44+00:00,,"Washington, USA",,False,4,291,14707,61,83
3362776437,2015-07-06 18:17:54+00:00,,"Troy, MI",,False,2,0,11467,37,37
1573145928,2013-07-06 16:36:18+00:00,,"Philadelphia, PA",,False,36,83890,16273,5000,2242
3415536082,2015-08-11 15:15:45+00:00,,"Katy, TX",,False,9,13553,2351,409,447
161794940,2010-07-01 20:08:30+00:00,,"Louisville, KY",,False,104,2258,35534,4900,9805
904465902,2012-10-25 19:00:12+00:00,,California,,False,6,61078,22482,659,704
57530984,2009-07-17 02:54:26+00:00,,"Roswell, GA",,False,20,4752,32713,968,956
