full_text,tweet_id,screen_name,Tweet_user_ID,original_user_ID
Bro is selling his ps4 copy of Watch docs 2 on his snap story💀 hood bankruptcy,1554451382073266183,tacot1m,1377486144569479170,1324525442762682368
@ggcaaaa @HateTheTake @FCHWPO When NDB hits him with a drop step and dunks it with max velocity. Folks will see,1554322433204797441,Jallentwitr,1497672471058735104,1324525442762682368
@ggcaaaa @HateTheTake @FCHWPO 🤣🤣🤣 NDB a force to be reckon with in that painted area,1554321775332364288,Jallentwitr,1497672471058735104,1324525442762682368
"@ggcaaaa @HateTheTake @FCHWPO Jaylen, care to weigh in here?",1554321485770022912,Jallentwitr,1497672471058735104,1324525442762682368
Pushin through this diagnosis but the juice is up tho @FCHWPO https://t.co/afJG41xQ6c,1554321302185562113,ArmChairRef23,1546127996037242880,1324525442762682368
@ggcaaaa @HateTheTake @FCHWPO What are you talking about he and Zach had English muffins this morning,1554319993269092353,Jallentwitr,1497672471058735104,1324525442762682368
Wait till the end. Tell me something ‘thetake can’t do. https://t.co/YKnSXFGi7X https://t.co/wUcwSx6awU,1554313164413702149,Jallentwitr,1497672471058735104,1324525442762682368
What can’t he do @HateTheTake https://t.co/5ADXFsWEvG,1554301605549223936,Jallentwitr,1497672471058735104,1324525442762682368
This took me forever and he won’t see it but I thought it turned out pretty good🫡 @FCHWPO https://t.co/z1PMdjPwWp,1554288603550851072,bleedgreen2001,1297267204845690887,1324525442762682368
⁦⁦@FCHWPO⁩ https://t.co/gF4N1MBl9t,1554262604033433600,RandiLaflamme2,1350630888745402368,1324525442762682368
The Boston front offices are on crack today!!!! https://t.co/Sn15YshEkf,1554260840496365568,ChiesaIsMyDad,1415092110781566980,1324525442762682368
@DREW44444444444 Russell gage,1554258949452488704,ChiesaIsMyDad,1415092110781566980,1324525442762682368
If you don’t think Jesus is real. Then why in history they us B.C and A.C 👀,1554252519534108672,BournePoly11,704326854,1324525442762682368
Jesus is my strength! And I truly depend on it!,1554247396107948039,BournePoly11,704326854,1324525442762682368
BNB w JB,1554234375499354117,Jallentwitr,1497672471058735104,1324525442762682368
Good bye sweet prince. https://t.co/UdW0WXWBwV,1554232940250468354,ChiesaIsMyDad,1415092110781566980,1324525442762682368
Need to get breakfast with Mike ehrmantraut and catch up,1554208262316244993,Bryanroyyy,798245440747634690,1324525442762682368
Orlando is better then Detroit,1554207669900173314,ChiesaIsMyDad,1415092110781566980,1324525442762682368
@JonHeyman @JackCurryYES yayyyy @DREW44444444444 @RogersPoggers @ChiesaIsMyDad @gmoney_270 @ggcaaaa,1554202069548105728,Giuseppelisi24,1302368087367442432,1324525442762682368
@ayeejuju No us who intermittent fast have it figured out. Breakfast is completely unnecessary. Studies now prove eating breakfast is the same as eating a big dinner right before going to sleep- it’s literally bad on your body.,1554193954085621760,cdxliv444,1139323773864144896,1324525442762682368
Great now we got another bitch spamming IG with bs,1554161772499816449,ChiesaIsMyDad,1415092110781566980,1324525442762682368
"- Allegedly deflate footballs: 4 games 
- Gamble $1500 on games you aren't playing in: entire season

- KO your wife in an elevator: 2 games
- Get accused by THIRTY different women of sexual assault: 6 games

NFL suspensions are a fucking joke.",1554137306898042880,KayceSmith,804838676,1324525442762682368
"Bruno Caboclo is now -3 years away after being ""two years away from being two years away"" when he was drafted at the 2014 NBA Draft.

Solid-ish flyer for Boston.",1554132371200425985,KeithSmithNBA,143629311,1324525442762682368
journey really was the best to do it,1554124423996768256,saydatjiggie,1224903412657131521,1324525442762682368
Me and Anthony cunha really have the same car. That’s respect,1554120537932271617,tacot1m,1377486144569479170,1324525442762682368
Happy 21st birthday to the new King of The North  Scottie barnes https://t.co/pFxODmYy2V,1554104863780487169,BolWrld,1304871065487921152,1324525442762682368
"@MicahAdams13 The thought is there, but basketball isn’t like baseball where multiple people can wear the same number without any issue. Numbers are essential in basketball and if everyone wears the same number it will cause lots of confusion for defenders and refs",1554081449120235521,samorelowitz,1064200074958438406,1324525442762682368
https://t.co/6A3Cf0lB5i,1553973024965140481,saydatjiggie,1224903412657131521,1324525442762682368
@HateTheTake I got you a Fairlife…,1553972198406328321,Jallentwitr,1497672471058735104,1324525442762682368
Y’all I’m tweeting from the boat. My reception is bussin shout out to the good old boys at @Verizon,1553903279888809984,Jallentwitr,1497672471058735104,1324525442762682368
"The NBA should do for Bill Russell what MLB did for Jackie Robinson.

Retire No. 6 for all franchises.

Make MLK Day - already a signature day for the league - the day where everyone wears No. 6.

Celebrating Bill Russell’s on court and off court legacy should be an annual rite.",1553887659302453249,MicahAdams13,58406508,1324525442762682368
Robert Williams is better than Jarren Jackson Jr.,1553875161140568064,BolWrld,1304871065487921152,1324525442762682368
"Mind-blowing Bill Russell statlines: 

23 PTS | 51 REB
27 PTS | 49 REB
28 PTS | 49 REB
29 PTS | 43 REB
20 PTS | 41 REB

Legend. https://t.co/hnM8B5G2cW",1553869464705404928,statmuse,2772543750,1324525442762682368
@lucaCoppolino1 @HateTheTake think we got someone else who is ready to sweat out a league with us,1553867132676472832,ChiesaIsMyDad,1415092110781566980,1324525442762682368
@lucaCoppolino1 @ggcaaaa Ratioooo lil ca 🤣,1553863792894922754,Jallentwitr,1497672471058735104,1324525442762682368
@HateTheTake You do you queen,1553847677686784002,RogersPoggers,1216404954874884098,1324525442762682368
@HateTheTake There’s a difference between lifting your butt and completely hip thrusting the rep,1553847328406208514,RogersPoggers,1216404954874884098,1324525442762682368
@HateTheTake 10 pounds ain’t a lot when u built like rog Pog u will lose this race I count on it,1553842815792300032,RogersPoggers,1216404954874884098,1324525442762682368
@ggcaaaa @RogersPoggers Sees Sam kilbane walking in looking like Thor and runs to give him knucks,1553828450200420352,Jallentwitr,1497672471058735104,1324525442762682368
@paulpierce34 https://t.co/92ofV6fS0w,1553813139103285248,CelticsGRD,797646483545845760,1324525442762682368
"Bill Russell - ""I always said that when I left the Celtics, I couldn't go to Heaven, because that would be a step down.""",1553803988251860992,BostonCelts4eva,2566466744,1324525442762682368
Rest In Peace 🕊thank you for paving the way and inspiring so many Today is a sad day but also great day to celebrate his legacy and what he stood for 💚 https://t.co/kvDaIsjpGG,1553796038661750784,FCHWPO,419181069,1324525442762682368
https://t.co/EADWWcdjLe,1553790975746740224,ChiesaIsMyDad,1415092110781566980,1324525442762682368
DPOY next season (if fully healthy) https://t.co/c4eUYpiM6m,1553774895829581824,BolWrld,1304871065487921152,1324525442762682368
Plz if u c this tell me ur favorite shape it’s for my exhibition project. Mines a circle,1553587501490659329,DREW44444444444,800209320583434240,1324525442762682368
@HateTheTake Yea a little friendly comp your on🤝,1553401971419258883,RogersPoggers,1216404954874884098,1324525442762682368
First time 😯 https://t.co/Vx8OqeKns5,1553391358030872576,Bryanroyyy,798245440747634690,1324525442762682368
"“Everything I’m not, made me everything I am.” Kanye West.

So true and it’s my favorite Kanye line. 

What’s yours?",1553368722718351360,motdraw1,2811769316,1324525442762682368
@yeeneejo @Dloading @NBA dude what? the league is 10x more skilled today,1553134889125482500,GonXLuffy,1537289965343805441,1324525442762682368
@HateTheTake Middle of an intersection in Warwick 🔥,1553115070049255424,Jallentwitr,1497672471058735104,1324525442762682368
"@HateTheTake @saydatjiggie if he played rb give him top 3, still a top 5 qb imo",1553114657401044993,StevennLombardi,1331438167816351748,1324525442762682368
Piece of shit fucking car,1553114448906358785,Jallentwitr,1497672471058735104,1324525442762682368
"Danny Green shocks teammates after his EPIC dunk 

This was chemistry https://t.co/IE1XUxsF9Z",1553103731729768452,thatwasiconic,1547232242073849856,1324525442762682368
I choose death https://t.co/sry4pGEHYr,1553094558346465280,StoolGreenie,299706956,1324525442762682368
Wow it’s a honor https://t.co/EbQnazUEhi,1553085090095562752,RogersPoggers,1216404954874884098,1324525442762682368
I felt the world change thru this fist bump https://t.co/sJ4T7FzowW,1553084205042745348,RogersPoggers,1216404954874884098,1324525442762682368
"If you’re Golden State, which player are you NOT extending? https://t.co/Dt5v16eUCW",1552768308579127296,TheNBACentral,1548977419,1324525442762682368
Pro runs was crazy today!!!!,1552758855947341829,isaiahthomas,72475439,1324525442762682368
https://t.co/eBMoZapbid https://t.co/isaDTZPozI,1552700704724230144,ChiesaIsMyDad,1415092110781566980,1324525442762682368
@HateTheTake Never get stuck,1552640613107081217,Bryanroyyy,798245440747634690,1324525442762682368
"I’ve noticed that regardless if a bad defensive player improves defensively, it’s damn near impossible for them to shake the label of being a bad defender while if someone has the reputation or was once a good/great defender, it’s damn near impossible for them to lose that.",1552493113477832704,PranavSriraman,1092555235594244098,1324525442762682368
@ggcaaaa @RogersPoggers @HateTheTake https://t.co/FjgCBxJvr4,1552432073184804864,Jallentwitr,1497672471058735104,1324525442762682368
@HateTheTake @ggcaaaa @Jallentwitr U shouldn’t be using it for ur warm up every working set u should be using a belt to maximize,1552429694443819008,RogersPoggers,1216404954874884098,1324525442762682368
@RogersPoggers @HateTheTake @ggcaaaa That’s not what he sayin read between the lines n du bum,1552429328612597760,Jallentwitr,1497672471058735104,1324525442762682368
"@statmuse Most 4th quarter playoffs points in a season:

172 — LeBron James (2018)
159 — Stephen Curry (2015)
154 — Jaylen Brown (2022)
154 — LeBron James (2015)
149 — Stephen Curry (2019)",1552312765645312003,HoopMuse,1511537632853037059,1324525442762682368
"Most 4th quarter playoff points in the last 5 seasons: 

424 — Chris Paul
398 — Steph Curry
391 — Giannis Antetokounmpo 
388 — Jayson Tatum
353 — Jaylen Brown https://t.co/cuXx9xbNzE",1552307956171014146,statmuse,2772543750,1324525442762682368
