full_text,tweet_id,screen_name,Tweet_user_ID,original_user_ID
@Jim_Jordan LOL I don't think the border is your biggest concern right now.,1542578819860676610,simplyjustamy,2884729151,34316885
@Jim_Jordan @JudiciaryGOP They have been doing that for a very long time Jim.  Maybe if you all did your job and fixed our immigration laws it would stop it or at least slow it.  But you all just want to use it for political purposes to blame each other for the mess that it is.,1542563952105848832,indp04,1090754313134198785,34316885
@Jim_Jordan @seanhannity @RepJimBanks This would apply to you too. https://t.co/hG7KTNNAVq,1542331513521545217,jbaronp,3939612076,34316885
@MeidasTouch Republicans could have played along. They opted out.,1542298945073938436,mhb_ct,2886526570,34316885
"With MAGA Republicans and a MAGA extremist Supreme Court attacking LGBTQ+ rights, women’s rights, and so much more:

We will keep fighting and we will keep working for the rights of all Americans. https://t.co/YcUUJYEVT5",1542246475832377344,SenSchumer,17494010,34316885
@MeidasTouch @chickenanytime Trump should feel free to testify under oath in front of the January 6th committee. Americans should be demanding it.,1542181267999199232,ProgressNow00,29312669,34316885
@Moreapt @MeidasTouch Not true at all. Hershman was his WH council and gave damning testimony,1542176687319908352,202castortroy,1376945464201900033,34316885
@MeidasTouch @IslandGirlPRV Well if he wants a trial then he should get one.,1542174480214409216,Wianette_Kaehne,596268186,34316885
@MeidasTouch He is more than welcome  to  come on down and take the 5th,1542174000205500418,TmAlopez1668,3365590511,34316885
"Donald Trump is complaining that his lawyers aren’t at the Jan 6 hearings presenting his side.

That would be called a trial. Be careful what you wish for Donny, because you will have your day in court soon enough.",1542173010660102150,MeidasTouch,1243560408025198593,34316885
25 years old and more courage than Trump's entire White House combined. Protect her. #CassidyHutchinson #January6thHearings https://t.co/BJpua62ysw,1541858766521479168,AadhilaDenzin,1091809167193456641,34316885
@MeidasTouch @Dobber_DeadPool We can only hope,1540086386765824001,lizzyb2b,34316885,34316885
@Dobber_DeadPool @Jim_Jordan Prosecutors Jim Jordan along with him!,1540085329436319744,lizzyb2b,34316885,34316885
"Trump plotted with lawyer John Eastman to pressure Pence to overturn the 2020 presidential election. What the President wanted the Vice President to do was not only unconstitutional but led to the violent attack on The Capitol.

Watch the 3-minute recap of yesterday's hearing ⤵️ https://t.co/qHCrnhouiI",1537876437272653824,January6thCmte,1415384176593883137,34316885
"""Vice President Pence understood that his oath of office was more important than his loyalty to Donald Trump. He did his duty. President Trump unequivocally did not.""
- Vice Chair @RepLizCheney",1537544796176269313,January6thCmte,1415384176593883137,34316885
@Mamaofthreebear @January6thCmte I hope J6 committee is also looking 👀 at Hannity’s bank accounts.,1537510600166854657,OneWorldly,1082823446264872960,34316885
Please join us in wishing Monte Rikaart-Sudduth a very happy sixth birthday! 🎂 He's grown up so much! —&gt; https://t.co/v2j4M8kOsj @gregrikaart @YRInsider @YandR_CBS https://t.co/ssNEMDKhiG,1536805353370836998,soapsindepthcbs,46163825,34316885
"The idea that an 18-year-old can walk into a store and buy assault weapons is just wrong.

What in God’s name do you need an assault weapon for except to kill someone?",1529482105977200643,POTUS,1349149096909668363,34316885
This might be the best monologue of @MadDogUnleashed’s career. https://t.co/vFpBa8x8Ko,1529467863051952128,JimmyTraina,22808963,34316885
@theboyfromgalle @bubbaprog You don’t deserve that award. If you don’t know how to play the game then you should’ve been doing that 😡. I always love you but from now on I will not waist my money to watch your movie!,1508301962889949192,batoktok,889387164,34316885
@bubbaprog I think this is clear evidence to never invite Will Smith to Comedy Central Roast. The guy would take every roast personal and leave with mutilple assault charges.,1508287523738464259,ProfessSnape,1418645708849115139,34316885
@bubbaprog I’m over Will Smith and Jada Smith acting all superior. Like damn they need to get over themselves,1508275029963730946,jasminefishy_,1442713199699058689,34316885
