full_text,tweet_id,screen_name,Tweet_user_ID,original_user_ID
"Have you ever seen a teacher who is just a little too interested in getting kids to talk about their sexuality? Or a government bureaucrat seemingly obsessed with pushing LGBT ideology into schools? Guess what @ConceptualJames calls those?
https://t.co/k5u9lJp6PI",1554549093891981312,DailySignal,2361224263,150238257
https://t.co/d81cXETOLx,1553566133717958656,GarfieldScreens,1319850887620284416,150238257
https://t.co/53XoyB778q,1552599763505258496,GarfieldScreens,1319850887620284416,150238257
"Lala, voice actor for the cat in Stray. https://t.co/nwToB5BRyS https://t.co/DguEcJWiPG",1551151569294458882,CatWorkers,1328704176772288513,150238257
https://t.co/93IQtddJ1R,1550531132654882817,GarfieldScreens,1319850887620284416,150238257
https://t.co/HupwHChk0c,1548492701431001088,GarfieldScreens,1319850887620284416,150238257
https://t.co/ISYrNoZlMp,1548379458171596800,GarfieldScreens,1319850887620284416,150238257
https://t.co/82GgS7EQLt,1548326607990820872,GarfieldScreens,1319850887620284416,150238257
https://t.co/TqZnd7L4Oz,1547601831315902466,GarfieldScreens,1319850887620284416,150238257
"First, Ashleigh discovered her backyard is a place where people go to sell and use drugs.

And last week, when she opened her trunk to take out groceries, she saw a hole. Then, after hearing a rattle, she removed the liner - and found a casing. 
https://t.co/W9AxH1UqDU",1547551489060548608,13WHAM,16329426,150238257
"WHO ARE THE HOTTEST NEW FACTIONS ON THE RIGHT?: A PRIMER

With the influence of the Online Right continuing to grow, an influx of new people into the broader movement has lead to a flourishing of new groups and viewpoints. But which new factions are making the biggest impact? 🧵 https://t.co/sbyMuLbtTu",1546914146670837763,kunley_drukpa,1335237183234519040,150238257
Academic conferences should replace the lanyard with individualised vests listing our anxieties. https://t.co/s7d2Y2V5DI,1545022133952192512,NC_Renic,4825382728,150238257
@zerohedge Gun and ammo in the car. What did he think would happen if he shot at Police? https://t.co/KD24fhu16U,1543921980365328385,Patriot73507011,1501731776535961606,150238257
"The fundamental operating principle of our society is the hatred of Whites. It is a hatred founded in resentment of White success, White virtue, White beauty, and White aptitude.  A pathological value system. 

#whitevirtue #whitegenocide #antiwhite https://t.co/fwAOY5awb2",1543779747699851265,DetachWestern,1413002894002036738,150238257
".@HillaryClinton: ""I went to law school with [Justice Thomas]. He’s been a person of grievance for as long as I have known him — resentment, grievance, anger … Women are going to die, Gayle. Women will die.” https://t.co/nUGWGFVJ3m",1541760654243143680,tomselliott,49698174,150238257
https://t.co/5OWfxTbgyV,1539645448993906688,memesiwish,1357156976233312259,150238257
