full_text,tweet_id,screen_name,Tweet_user_ID,original_user_ID
"not @xtina making the whole plane learn the ""Vanity"" choreo bc she's trying to save the world by not flying private https://t.co/zP5BfqS0pQ",1554565038341586944,106th,15613458,263895123
I’ve never tweeted about Cardi B a day in my life until today lol. My wife is a Nicki Minaj fan and I’m with whatever my wife is with ha. https://t.co/rnlDgb08kF,1554560203714076672,LanceTurner2k17,844141867,263895123
@concertleaks presale code is GEMINI,1554550111509921793,traitordeluxe,1544317897,263895123
We need to leave Kelis alone because we gone need her crops and animals once the apocalypse happens. https://t.co/SSPkS4If7T,1554546896936603650,itsKARY_,58397932,263895123
Beyoncé taking Kelis off them credits. https://t.co/6ZF0uE5Daj,1554542669094952964,itsKARY_,58397932,263895123
"Beyoncé sat on it for a few days and said you know what!
https://t.co/AiIFe7dGOx",1554539097997320197,_MissLeandra,193871910,263895123
Seeing “she’s 40” trend and finding out it’s about Cardi B fans age shaming Nicki Minaj is driving me insane. All of these years I thought Cardi B was older than Nicki Minaj based off of looks lol.,1554532916981637120,LanceTurner2k17,844141867,263895123
"Michael Jackson &amp; Lil Uzi Vert, 1997 https://t.co/lrnVyx9srU",1554530715705933825,fvrdreamcollabs,1541255889201627136,263895123
@colderthan__ice I see what you did there https://t.co/5CULKHgREr,1554496028140863499,Spazketchum,2624540717,263895123
"Ghostface rapping over Hov’s “Girls, Girls, Girls” sounds perfect.

Especially when you consider Just Blaze made that beat for Ghost — Jay just grabbed it first (the beat file was initially named Ghostface) https://t.co/osZmvEJGG1",1554485732819013633,fakeshoredrive,16302129,263895123
steve lacy really showed his ass on gemini rights omg,1554484436984631299,amayamonae1,950950383937097729,263895123
Niggas really used to print out 4 pages from Mapquest and travel like pirates,1554483233030606849,fauxfresh,2195203470,263895123
@OcieMitchell @seahorseradish https://t.co/xKd3oeSu0e,1554473061696634883,satsumawasp,1437649308942221313,263895123
Damn Ashanti did Irv Gotti dirty stepping out with Nelly..Good thing he had his wife's shoulder to cry on https://t.co/BO2wJWnkX5,1554471201078116353,Omowale99949437,1192801415112081408,263895123
"Da Art of Storytellin’ Pt. 1

Outkast ft. Slick Rick (1998)https://t.co/filXqzcinU",1554469538812542976,_DITRHipHop,1432326843361906691,263895123
@seahorseradish https://t.co/McAWIjCDeS,1554459941691617280,OcieMitchell,429271768,263895123
@blu33jmd down terribly,1554455027296747521,ecofriendlybro,2580983985,263895123
@blu33jmd On god 😂😂😂😂,1554453223670521856,AiryneeJ_,41010497,263895123
Nicki funny ash she right I should’ve stopped reading after they said she owe IRS 175mil 🤣,1554451954033639424,AiryneeJ_,41010497,263895123
you can tell someone has gemini or cancer in their big 3 from a mile away just from their eyes https://t.co/lw4KEpuhEX,1554443678311219203,SydDivineTarot,972778202107170816,263895123
Anime : Hunter x Hunter https://t.co/6sjTLzywIM,1554442570390011904,HxHVizuals,1457871631460847618,263895123
The start of an historical arc in anime https://t.co/lbcxrTujGD,1554439021350240257,younwimMn,1513258091051114507,263895123
"The hologram meeting just hit differently as a kid 🔥😩
#NARUTO https://t.co/DtQgi9TorC",1554428640481251328,kashinkoji05,1436227526662131718,263895123
GOKU SMACKED THE SHIT OUTTA HER 😭😭😭 https://t.co/MayB3NL16T,1554349432161947649,The25thBam_,1197588857656692737,263895123
New Italian just dropped https://t.co/ag6fn41gTp,1554324334994407424,sevenohthree,19921227,263895123
8/12 🎀 https://t.co/9eIgAGBHDp,1554322131449683969,NICKIMINAJ,35787166,263895123
Nah.. ain’t no fucken way 😭😭😭 https://t.co/xVeTnwfDEV,1554313229232353280,HBsetitoff,1523441612596031491,263895123
https://t.co/ePHKKpNdHe,1554311090112270336,AB84,224221596,263895123
Lenny S on Instagram 👀 https://t.co/GyGJYbNcPb,1554309162925973504,JAY_Z_Daily,1345285296,263895123
Britney and Christina on the charts in 1999 https://t.co/hqe86kSYOZ,1554307669934186497,britmebaby,1119355196474372097,263895123
"Olivia Rodrigo, Billie Eilish and Iris Apatow in new portrait from Selena Gomez’s 30th birthday party last month. https://t.co/PuWxtH0hQ3",1554292761079123968,PopCrave,4429003533,263895123
This meal prep shit is easy https://t.co/iDG8aAKNju,1554290133343604737,seahorseradish,240186363,263895123
We all had the same reaction to Naruto's iconic combo in OG😂😂 https://t.co/NyQgwZCAvl,1554284906078928896,younwimMn,1513258091051114507,263895123
THIS NIGGA IS SO COLD https://t.co/XTGTeE19Ft,1554283092596097024,The25thBam_,1197588857656692737,263895123
If we go on lockdown im having a baby,1554282713942700033,moniib0,1233656603875790848,263895123
I feel like all of this Kelis/Beyoncé/Diane Warren sample/songwriting arguing has distracted us from the real tragedy from July. That godawful DVSN record. Probably the worst sample usage I’ve heard in 10 years. I need more slander.,1554280289614061568,RVAReid,817385663569989632,263895123
🦋🦇📷. https://t.co/V4gAFKcMGQ,1554278218735112192,ThegirlJT,443481805,263895123
omggggggg!!!!!!😭😭😭🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺THANK YOUUUUUU!! https://t.co/8xWf7GeAGU,1554278097905672192,_JaNyeAiko,206753120,263895123
"Kawhi lookin BIG 💪
 https://t.co/UvEzudDe8y",1554276839073296385,DrGuru_,1111768307886145537,263895123
Nah why is Vegeta so funny 😭 https://t.co/d7hnkJ3x95,1554269516301062145,The25thBam_,1197588857656692737,263895123
if i ever win the lottery. i’m not telling anyone lol.,1554256205283004416,ecofriendlybro,2580983985,263895123
"“Miles Morales isn’t Spider…”
https://t.co/RzWWeBCbmS",1554253561818742784,WednesdayPull,1057659211734286337,263895123
I love knowing I’m sending ppl crazy 🤣😂 you. Yes you. I’m sending you fkng crazy hoe 🤣you betta buckle ya muphkn seatbelt broads. #FreakyGirl 8/12,1554240851324424192,NICKIMINAJ,35787166,263895123
Happy Spider-Man Day 🕸🕷 https://t.co/qgb50TNFRv,1554238250109128704,CultureCrave,932786452739407872,263895123
@blu33jmd you okay?,1554231461494067203,ecofriendlybro,2580983985,263895123
megan x kourt https://t.co/8SwUy4HxS1,1554229458428624898,galactamelanin,1428795108007292934,263895123
@blu33jmd honeycrisp gang,1554229129725313026,ecofriendlybro,2580983985,263895123
@blu33jmd Neither. Golden delicious.,1554227615715786755,fuckadrixn,1873880868,263895123
This is really my favorite video😩😂 https://t.co/oYDpREXf7R,1554226734886559746,ashxlinay,265589917,263895123
"Young Thug’s sister says she just left from seeing him, and he’s doing good &amp; they have exciting news 👀🐍 https://t.co/0mFLp3QVEv",1554224890244243457,nojumper,268738761,263895123
https://t.co/f4OCRKcXVW,1554211596473344000,scrit_,1090770092907028481,263895123
"love her or hate her, joan clayton served a lot of looks https://t.co/spwNKEh6oc",1554210566947889152,galactamelanin,1428795108007292934,263895123
i’m making sure y’all get sick of how much i tweet about this song like. https://t.co/bY3XvW6WOJ,1554209889744027648,TEXASTITTIE,1233541336130781185,263895123
yes https://t.co/RIo2Wb2Yur https://t.co/9so9VOkKaM,1554202378605277185,offtaylorgray,1392974005154373632,263895123
I JUST DROPPED OFF 100 ROSES FOR MY ABSOLUTE FAVORITE ARTIST @JheneAiko!!!!!! DREAMS REALLY DO SOME TRUE I AM SHAKING https://t.co/0eORaDX8Rw,1554199542911860736,_JaNyeAiko,206753120,263895123
"Kenan Thompson set to be honored with a star on the Hollywood Walk of Fame on August 11, @Variety reports. https://t.co/t2r4rWgw4z",1554195718960660480,PopCrave,4429003533,263895123
"Maybe if you credited everyone involved in the creative process like she did, you wouldn’t be facing a 20 million dollar lawsuit for plagiarism and would have at least one award to your 13 nominations. No shade, though. https://t.co/6OoFCtZsOr",1554194153743044609,haltercroptop,1177091468273602560,263895123
Kelis calling Beyoncé a pawn of Satan just means Beyoncé is back at her peak powers. That's straight from the circa 2009 Sasha Fierce era playbook when Single Ladies was the biggest song in the world. The Queen is back!,1554190943074623488,DragonflyJonez,19725981,263895123
"AINT NO WAY BRO 😭
(via josiahferguson01/TT) https://t.co/oPU6ArWNny",1554188060136546305,overtime,2379056251,263895123
Moms be harder on their daughters .. They baby their sons until they 50 lol,1554186294540083201,eeb____,261215032,263895123
happy girlfriends day! https://t.co/dXz1cxyiaP,1554185546049675265,forsapphic,4104097273,263895123
https://t.co/YzCPrS8inX,1554181922884034560,WholesomeMeme,762799939395158016,263895123
nicki minaj (2012). https://t.co/tTcTzmBWeE,1554176159692333058,MINAJMEETDAWOO,2850338967,263895123
anne frank when she accidentally farted https://t.co/GITp3gMINo,1554174235656032258,BacockObama,335084908,263895123
"Here’s the link
https://t.co/3WVuYx10eb",1554172659725910022,PokemonGems,1409917553514848257,263895123
These are so cute https://t.co/KLb523m7Na,1554172228547346433,PokemonGems,1409917553514848257,263895123
"Lil Wayne shreds with The Beatles, 1964 https://t.co/733wAdKqmu",1554168388754210821,fvrdreamcollabs,1541255889201627136,263895123
"This lady just ate two bananas beside me quick as hell, gotta be a sign of monkeypox",1554166406555598849,ThatsJaaa,1213333664039227392,263895123
"“u got a good girl” 

how do you know??? https://t.co/vFhdWnIjTt",1554160811475718144,NiggazBackWILIN,1427375187746566145,263895123
The Korean baptist girls be goin thru it like that?! https://t.co/JOgj9x7Y35,1554154867584909315,turnandstomp,23403662,263895123
"Glorilla previews a new song. @GloTheofficial 
 https://t.co/MKapk29LYZ",1554154358442381312,rapalert6,1419303460319662091,263895123
cancel plans just in case you'd call https://t.co/C2ObNWsI2X,1554154307296960519,Twilight,40361513,263895123
