full_text,tweet_id,screen_name,Tweet_user_ID,original_user_ID
"Who came knocking on Richard Seymour’s door to let him know he’s a Hall of Famer? A guy he won three Super Bowls with, @OfficialTyLaw. 💍💍💍

@BigSey93 | @Patriots

📺: #PFHOF22 Enshrinement – Saturday 12pm ET on @NFLNetwork https://t.co/FG3XOucTUa",1554601688094220288,NFL,19426551,816447559283654656
"League sources and legal experts predict that the NFL will exercise its right to file an appeal and that Roger Goodell will significantly increase the punishment levied against #Browns QB Deshaun Watson.

More from @AaronWilson_NFL in this #PFNReport ⤵️

https://t.co/57SOwDehXc",1554600076185673729,PFN365,1067113056457695232,816447559283654656
"Thanks for everything, Monty. 

Wishing you all the best @Gumbynation34 💙 https://t.co/ViqimZwLK8",1554594974880112641,Yankees,40927173,816447559283654656
"Bader to the Bronx. 

Welcome home, @aybaybader 👊 https://t.co/BFSt0umlS0",1554592607191408640,Yankees,40927173,816447559283654656
"Last thing from my notes: I’ve been pleasantly surprised by the #Patriots’ linebacker trio of Ja’Whaun Bentley, Raekwon McMillan, and Mack Wilson. Bentley’s role may change slightly, while McMillan looks good in the middle and Wilson brings explosiveness in the passing game.",1554591472254652420,ezlazar,226037111,816447559283654656
"Cubs NOT trading Contreras and Happ, source tells @TheAthletic",1554589284207820811,Ken_Rosenthal,90959399,816447559283654656
Bader is currently on the DL with plantar fasciitis. The Yankees have wanted better defense in CF and to get Judge out of CF to protect his legs,1554587361392136192,Joelsherman1,41591898,816447559283654656
Yankees have sent Jordan Montgomery to the Cards for Harrison Bader,1554586628320120833,JackCurryYES,79896855,816447559283654656
"Pablo Lopez will remain with the Marlins beyond the Trade Deadline, per source. The Yankees were one of the teams that tried to deal for him, but the match wasn't there. Lopez is under club control through 2024.",1554586578391281664,Feinsand,40709264,816447559283654656
"Cardinals acquiring LHP Jordan Montgomery from the Yankees, sources tell me and @LindseyAdler. Return not yet known.",1554586465165770762,Ken_Rosenthal,90959399,816447559283654656
"Standout @KyleBrandt has signed a multi-year deal with Peyton Manning’s Omaha Productions.

“Kyle Brandt’s Basement” premieres Monday 8/8 on ESPN digital platforms. @KBbasement

Brandt tested with Peyton and Eli for MNF, which led to the deal.

https://t.co/6esD6rahGa",1554585943885156361,AdamSchefter,51263592,816447559283654656
"The Philadelphia Phillies are finalizing a deal to acquire right-hander Noah Syndergaard from the Los Angeles Angels, sources tell ESPN.",1554585868861685760,JeffPassan,33857883,816447559283654656
Broncos RB @DamareaCrockett also announced that he suffered a season-ending torn ACL at today's practice. So both Crockett and WR Tim Patrick done for the season.,1554576781939822594,AdamSchefter,51263592,816447559283654656
"Tim Patrick suffered a torn ACL Tuesday in Broncos' practice, per @mikeklis https://t.co/PbE2GQCFwW",1554574302468513793,brgridiron,35890043,816447559283654656
The #Dolphins released DT Adam Butler with a failed physical designation.,1554565547811119104,DougKyed,21995237,816447559283654656
Bills’ All-Pro safety Jordan Poyer hyperextended his elbow today and will miss what one source described as “a few weeks.” Poyer is expected to be back for the start of the regular season.,1554563164683091971,AdamSchefter,51263592,816447559283654656
The New York Yankees today announced that they have acquired minor league right-handed pitcher Clayton Beeter from the Los Angeles Dodgers in exchange for outfielder Joey Gallo.,1554557677409169410,Yankees,40927173,816447559283654656
".@JackCurryYES: ""There have been inquiries made on Gleyber Torres."" https://t.co/tX5AY41N93",1554557614901678080,YESNetwork,18766687,816447559283654656
"The Dodgers acquired Joey Gallo from the New York Yankees, a source confirmed to @JeffPassan.

The news of the trade was first reported by Sports Illustrated. https://t.co/ryA91xQ835",1554554228860936193,espn,2557521,816447559283654656
